Institute Name,Program Name,State/All India Seats,Seat Pool,OPEN,OPEN-PwD,GEN-EWS,GEN-EWS-PwD,SC,SC-PwD,ST,ST-PwD,OBC-NCL,OBC-NCL-PwD,Total (includes Female Supernumerary),"Program-Total
                                            


Seat Capacity
                                            
Female Supernumerary",Program-Total
57,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,2,1,1,0,3,0,"12 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Electrical Engineering (4 Years, Bachelor of Technology)",ODISHA,Gender-Neutral,17,1,4,1,6,1,3,0,11,1,45,"57


0",0
57,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,1,1,0,1,1,1,0,2,1,"12 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Electrical Engineering (4 Years, Bachelor of Technology)","Other than 
ODISHA",Gender-Neutral,17,1,4,1,6,1,3,0,11,1,45,"56


0",0
56,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,1,1,0,1,0,1,0,2,1,"11 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ODISHA,Gender-Neutral,8,1,2,0,3,0,2,0,6,0,22,"28


0",0
28,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,1,0,1,0,"6 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","Other than 
ODISHA",Gender-Neutral,8,1,2,0,3,0,2,0,6,0,22,"28


0",0
28,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,1,0,1,0,"6 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Mechanical Engineering (4 Years, Bachelor of Technology)",ODISHA,Gender-Neutral,17,1,5,0,6,1,2,1,10,1,44,"57


0",0
57,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,2,0,1,1,3,1,"13 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Mechanical Engineering (4 Years, Bachelor of Technology)","Other than 
ODISHA",Gender-Neutral,17,1,5,0,6,1,2,1,10,1,44,"56


0",0
56,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,2,0,1,0,3,1,"12 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",ODISHA,Gender-Neutral,8,1,3,0,4,0,2,0,6,1,25,"32


0",0
32,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,1,0,2,0,"7 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","Other than 
ODISHA",Gender-Neutral,8,1,3,0,4,0,2,0,6,1,25,"31


0",0
31,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,1,0,1,0,1,0,2,0,"6 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Mining Engineering  (4 Years, Bachelor of Technology)",ODISHA,Gender-Neutral,7,0,2,0,3,0,2,0,5,0,19,"21


0",0
21,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,0,0,1,0,"2 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Mining Engineering  (4 Years, Bachelor of Technology)","Other than 
ODISHA",Gender-Neutral,8,0,2,0,2,0,2,0,5,0,19,"22


0",0
22,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,1,0,0,0,1,0,"3 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",ODISHA,Gender-Neutral,9,1,2,0,3,0,1,0,6,0,22,"28


0",0
28,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,1,0,1,0,1,0,1,0,"6 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)","Other than 
ODISHA",Gender-Neutral,9,0,2,0,3,0,2,0,6,0,22,"28


0",0
28,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,0,0,0,0,2,0,"6 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Bio Medical Engineering (4 Years, Bachelor of Technology)",ODISHA,Gender-Neutral,6,0,2,0,2,0,1,0,4,0,15,"19


0",0
19,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,0,0,1,0,0,0,1,0,"4 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Bio Medical Engineering (4 Years, Bachelor of Technology)","Other than 
ODISHA",Gender-Neutral,6,0,2,0,2,0,1,0,4,0,15,"19


1",1
19,1,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,0,0,1,0,1,0,1,0,"5 (including ""1"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Industrial Design (4 Years, Bachelor of Technology)",ODISHA,Gender-Neutral,6,0,2,0,2,0,1,0,4,0,15,"19


1",1
19,1,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,0,0,1,0,0,0,1,0,"5 (including ""1"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Industrial Design (4 Years, Bachelor of Technology)","Other than 
ODISHA",Gender-Neutral,6,0,2,0,2,0,1,0,4,0,15,"19


0",0
19,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,0,0,1,0,0,0,1,0,"4 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Food Process Engineering (4 Years, Bachelor of Technology)",ODISHA,Gender-Neutral,6,0,2,0,2,0,1,0,4,0,15,"19


0",0
19,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,1,0,1,0,0,0,1,0,"4 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Food Process Engineering (4 Years, Bachelor of Technology)","Other than 
ODISHA",Gender-Neutral,6,0,2,0,2,0,1,0,4,0,15,"19


0",0
19,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),2,0,0,0,1,0,0,0,1,0,"4 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Architecture  (5 Years, Bachelor of Architecture)",ODISHA,Gender-Neutral,3,0,1,0,1,0,1,0,2,0,8,"10


0",0
10,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,0,0,1,0,"2 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Architecture  (5 Years, Bachelor of Architecture)","Other than 
ODISHA",Gender-Neutral,3,0,1,0,1,0,1,0,2,0,8,"10


0",0
10,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,0,0,1,0,"2 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ODISHA,Gender-Neutral,3,0,0,0,1,0,0,0,1,0,5,"6


0",0
6,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),0,0,0,0,0,0,0,0,1,0,"1 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","Other than 
ODISHA",Gender-Neutral,2,0,1,0,1,0,0,0,1,0,5,"6


0",0
6,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,0,0,0,0,"1 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ODISHA,Gender-Neutral,3,0,0,0,1,0,0,0,1,0,5,"6


0",0
6,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),0,0,0,0,0,0,0,0,1,0,"1 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","Other than 
ODISHA",Gender-Neutral,3,0,0,0,1,0,0,0,2,0,6,"7


0",0
7,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,0,0,0,0,"1 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ODISHA,Gender-Neutral,2,0,0,0,1,0,1,0,2,0,6,"6


0",0
6,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),0,0,0,0,0,0,0,0,0,0,"0 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","Other than 
ODISHA",Gender-Neutral,2,0,1,0,1,0,1,0,1,0,6,"6


0",0
6,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),0,0,0,0,0,0,0,0,0,0,"0 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Ceramic Engineering and M.Tech Industrial Ceramic (5 Years, Bachelor and Master of Technology (Dual Degree))",ODISHA,Gender-Neutral,3,0,0,0,1,0,0,0,2,0,6,"7


0",0
7,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,0,0,0,0,"1 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Ceramic Engineering and M.Tech Industrial Ceramic (5 Years, Bachelor and Master of Technology (Dual Degree))","Other than 
ODISHA",Gender-Neutral,2,0,0,0,1,0,0,0,2,0,5,"6


0",0
6,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,0,0,0,0,"1 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Chemistry (5 Years, Integrated Master of Science)",ODISHA,Gender-Neutral,4,0,1,0,2,0,1,0,2,0,10,"12


0",0
12,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,0,0,1,0,"2 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Chemistry (5 Years, Integrated Master of Science)","Other than 
ODISHA",Gender-Neutral,4,0,1,0,2,0,1,0,3,0,11,"13


0",0
13,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,0,0,1,0,"2 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Physics (5 Years, Integrated Master of Science)",ODISHA,Gender-Neutral,4,0,1,0,2,0,1,0,3,0,11,"13


0",0
13,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,0,0,1,0,"2 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Physics (5 Years, Integrated Master of Science)","Other than 
ODISHA",Gender-Neutral,4,0,1,0,2,0,1,0,3,0,11,"12


0",0
12,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,0,0,0,0,"1 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Mathematics (5 Years, Integrated Master of Science)",ODISHA,Gender-Neutral,4,0,1,0,2,0,1,0,3,0,11,"12


0",0
12,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,0,0,0,0,"1 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Mathematics (5 Years, Integrated Master of Science)","Other than 
ODISHA",Gender-Neutral,5,0,1,0,2,0,1,0,3,0,12,"13


0",0
13,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,0,0,0,0,"1 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Life Science (5 Years, Integrated Master of Science)",ODISHA,Gender-Neutral,4,0,1,0,2,0,1,0,3,0,11,"13


0",0
13,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,0,0,1,0,"2 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Rourkela","Life Science (5 Years, Integrated Master of Science)","Other than 
ODISHA",Gender-Neutral,4,0,1,0,2,0,1,0,2,0,10,"12


0",0
12,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,0,0,1,0,"2 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Silchar","Civil Engineering (4 Years, Bachelor of Technology)",ASSAM,Gender-Neutral,25,1,5,0,9,0,4,1,16,1,62,"78


0",0
78,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,1,2,0,3,0,1,0,4,0,"16 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Silchar","Civil Engineering (4 Years, Bachelor of Technology)","Other than 
ASSAM",Gender-Neutral,25,1,6,1,8,1,5,0,16,1,64,"79


0",0
79,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),6,0,1,0,3,0,1,0,4,0,"15 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",ASSAM,Gender-Neutral,25,1,5,1,10,0,5,0,16,1,64,"80


0",0
80,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),6,0,2,0,2,1,1,0,4,0,"16 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","Other than 
ASSAM",Gender-Neutral,26,1,6,0,8,1,5,0,16,2,65,"81


0",0
81,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,1,2,0,3,0,1,0,4,0,"16 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Silchar","Electrical Engineering (4 Years, Bachelor of Technology)",ASSAM,Gender-Neutral,25,1,5,1,10,0,4,1,17,1,65,"81


0",0
81,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),6,1,2,0,2,0,1,0,4,0,"16 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Silchar","Electrical Engineering (4 Years, Bachelor of Technology)","Other than 
ASSAM",Gender-Neutral,25,2,6,0,9,0,5,0,17,1,65,"81


0",0
81,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),6,0,2,0,2,1,1,0,4,0,"16 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ASSAM,Gender-Neutral,25,1,5,1,10,0,4,1,17,1,65,"81


0",0
81,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),6,1,2,0,2,0,1,0,4,0,"16 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","Other than 
ASSAM",Gender-Neutral,26,1,6,0,9,0,5,0,17,1,65,"81


0",0
81,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),6,0,2,0,2,1,1,0,4,0,"16 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Silchar","Mechanical Engineering (4 Years, Bachelor of Technology)",ASSAM,Gender-Neutral,26,1,7,0,8,1,5,0,15,2,65,"81


0",0
81,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,1,2,0,3,0,1,0,4,0,"16 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Silchar","Mechanical Engineering (4 Years, Bachelor of Technology)","Other than 
ASSAM",Gender-Neutral,25,1,5,1,10,0,5,0,16,1,64,"80


0",0
80,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),6,0,2,0,2,0,1,0,5,0,"16 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Silchar","Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",ASSAM,Gender-Neutral,16,0,4,0,5,1,3,0,11,0,40,"50


0",0
50,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,1,0,1,0,3,0,"10 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Silchar","Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)","Other than 
ASSAM",Gender-Neutral,15,1,4,0,6,0,3,0,11,0,40,"50


0",0
50,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,1,1,0,1,0,1,0,3,0,"10 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Chemical Engineering (4 Years, Bachelor of Technology)","JK
JAMMU & KASHMIR (UT)",Gender-Neutral,15,1,4,0,6,0,2,1,9,0,38,"49


1",1
49,1,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,0,1,0,2,0,1,0,3,0,"12 (including ""1"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Chemical Engineering (4 Years, Bachelor of Technology)","LA
LADAKH (UT)",Gender-Neutral,1,0,0,0,0,0,0,0,1,0,2,"2


0",0
2,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),0,0,0,0,0,0,0,0,0,0,"0 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Chemical Engineering (4 Years, Bachelor of Technology)","Other than 
JAMMU & KASHMIR (UT)
LADAKH (UT)",Gender-Neutral,16,1,4,0,6,0,2,1,10,1,41,"50


1",1
50,1,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,2,0,1,0,2,0,"10 (including ""1"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Civil Engineering (4 Years, Bachelor of Technology)","JK
JAMMU & KASHMIR (UT)",Gender-Neutral,28,2,5,1,9,1,5,0,17,1,69,"83


4",4
83,4,,,,,,,,,,,,,,,
Female-only (including Supernumerary),7,0,3,0,2,0,1,0,5,0,"18 (including ""4"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Civil Engineering (4 Years, Bachelor of Technology)","LA
LADAKH (UT)",Gender-Neutral,1,0,0,0,1,0,0,0,1,0,3,"3


2",2
3,2,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,0,0,1,0,"2 (including ""2"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Civil Engineering (4 Years, Bachelor of Technology)","Other than 
JAMMU & KASHMIR (UT)
LADAKH (UT)",Gender-Neutral,28,2,6,1,9,1,5,0,20,1,73,"88


3",3
88,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),7,0,2,0,3,0,1,0,5,0,"18 (including ""3"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Computer Science and Engineering (4 Years, Bachelor of Technology)","JK
JAMMU & KASHMIR (UT)",Gender-Neutral,12,1,3,0,5,0,3,0,8,0,32,"39


2",2
39,2,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,1,0,3,0,"9 (including ""2"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Computer Science and Engineering (4 Years, Bachelor of Technology)","LA
LADAKH (UT)",Gender-Neutral,1,0,0,0,0,0,0,0,0,1,2,"2


0",0
2,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),0,0,0,0,0,0,0,0,0,0,"0 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Computer Science and Engineering (4 Years, Bachelor of Technology)","Other than 
JAMMU & KASHMIR (UT)
LADAKH (UT)",Gender-Neutral,13,1,2,0,5,0,2,0,8,1,32,"39


2",2
39,2,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,2,0,0,0,2,0,"9 (including ""2"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Electrical Engineering (4 Years, Bachelor of Technology)","JK
JAMMU & KASHMIR (UT)",Gender-Neutral,16,1,3,1,7,0,3,0,10,1,42,"52


2",2
52,2,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,2,0,2,0,1,0,3,0,"12 (including ""2"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Electrical Engineering (4 Years, Bachelor of Technology)","LA
LADAKH (UT)",Gender-Neutral,1,0,0,0,0,0,0,0,1,0,2,"2


1",1
2,1,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,0,0,0,0,"1 (including ""1"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Electrical Engineering (4 Years, Bachelor of Technology)","Other than 
JAMMU & KASHMIR (UT)
LADAKH (UT)",Gender-Neutral,16,2,5,0,6,1,2,1,11,1,45,"54


2",2
54,2,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,2,0,1,0,3,0,"11 (including ""2"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","JK
JAMMU & KASHMIR (UT)",Gender-Neutral,15,1,3,1,6,0,3,0,10,1,40,"47


3",3
47,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,2,0,1,0,2,0,"10 (including ""3"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","LA
LADAKH (UT)",Gender-Neutral,1,0,0,0,0,0,0,0,1,0,2,"2


1",1
2,1,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,0,0,0,0,"1 (including ""1"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","Other than 
JAMMU & KASHMIR (UT)
LADAKH (UT)",Gender-Neutral,17,1,4,0,6,0,3,0,10,1,42,"52


1",1
52,1,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,2,0,1,0,3,0,"11 (including ""1"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Mechanical Engineering (4 Years, Bachelor of Technology)","JK
JAMMU & KASHMIR (UT)",Gender-Neutral,16,1,4,1,6,1,3,0,10,1,43,"52


3",3
52,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,2,0,2,0,1,0,3,0,"12 (including ""3"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Mechanical Engineering (4 Years, Bachelor of Technology)","LA
LADAKH (UT)",Gender-Neutral,1,0,0,0,0,0,0,0,1,0,2,"2


1",1
2,1,,,,,,,,,,,,,,,
Female-only (including Supernumerary),1,0,0,0,0,0,0,0,0,0,"1 (including ""1"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Mechanical Engineering (4 Years, Bachelor of Technology)","Other than 
JAMMU & KASHMIR (UT)
LADAKH (UT)",Gender-Neutral,18,1,5,0,6,1,3,0,12,1,47,"56


3",3
56,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,0,1,0,2,0,1,0,3,0,"12 (including ""3"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","JK
JAMMU & KASHMIR (UT)",Gender-Neutral,14,1,4,0,6,0,3,0,10,1,39,"50


1",1
50,1,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,0,2,0,1,0,1,0,3,0,"12 (including ""1"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","LA
LADAKH (UT)",Gender-Neutral,1,0,0,0,0,0,0,0,1,0,2,"2


0",0
2,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),0,0,0,0,0,0,0,0,0,0,"0 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","Other than 
JAMMU & KASHMIR (UT)
LADAKH (UT)",Gender-Neutral,16,1,4,0,6,0,3,0,11,1,42,"50


3",3
50,3,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,2,0,1,0,3,0,"11 (including ""3"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Information Technology (4 Years, Bachelor of Technology)","JK
JAMMU & KASHMIR (UT)",Gender-Neutral,12,1,3,0,4,1,3,0,8,0,32,"41


1",1
41,1,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,1,0,1,0,3,0,"10 (including ""1"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Information Technology (4 Years, Bachelor of Technology)","LA
LADAKH (UT)",Gender-Neutral,1,0,0,0,0,0,0,0,1,0,2,"2


0",0
2,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),0,0,0,0,0,0,0,0,0,0,"0 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Srinagar","Information Technology (4 Years, Bachelor of Technology)","Other than 
JAMMU & KASHMIR (UT)
LADAKH (UT)",Gender-Neutral,13,1,3,0,4,1,3,0,9,0,34,"41


2",2
41,2,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,2,0,1,0,2,0,"9 (including ""2"" Supernumerary)",,,,,
"National Institute of Technology, Tiruchirappalli","Chemical Engineering (4 Years, Bachelor of Technology)",TAMIL NADU,Gender-Neutral,12,0,3,0,5,0,2,0,8,1,31,"40


0",0
40,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,0,1,0,1,0,1,0,2,0,"9 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Tiruchirappalli","Chemical Engineering (4 Years, Bachelor of Technology)","Other than 
TAMIL NADU",Gender-Neutral,12,1,3,0,5,0,2,1,8,0,32,"39


0",0
39,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),3,0,1,0,1,0,0,0,1,1,"7 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Tiruchirappalli","Civil Engineering (4 Years, Bachelor of Technology)",TAMIL NADU,Gender-Neutral,18,0,5,1,5,1,3,0,13,1,47,"59


0",0
59,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,0,1,0,2,0,1,0,2,1,"12 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Tiruchirappalli","Civil Engineering (4 Years, Bachelor of Technology)","Other than 
TAMIL NADU",Gender-Neutral,17,1,5,1,6,0,3,0,13,1,47,"59


0",0
59,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,0,1,0,2,0,1,0,3,0,"12 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)",TAMIL NADU,Gender-Neutral,19,1,4,1,6,1,3,0,13,0,48,"60


0",0
60,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),4,1,1,0,2,0,1,0,3,0,"12 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)","Other than 
TAMIL NADU",Gender-Neutral,18,1,6,0,6,0,3,0,12,1,47,"59


0",0
59,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,0,1,0,2,0,1,0,3,0,"12 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Tiruchirappalli","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",TAMIL NADU,Gender-Neutral,17,1,4,1,6,1,3,0,13,0,46,"58


0",0
58,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,0,0,1,2,0,1,0,3,0,"12 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Tiruchirappalli","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","Other than 
TAMIL NADU",Gender-Neutral,19,1,5,0,5,1,3,0,12,1,47,"59


0",0
59,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,0,1,0,2,0,1,0,3,0,"12 (including ""0"" Supernumerary)",,,,,
"National Institute of Technology, Tiruchirappalli","Mechanical Engineering (4 Years, Bachelor of Technology)",TAMIL NADU,Gender-Neutral,18,0,5,1,5,1,3,0,13,1,47,"59


0",0
59,0,,,,,,,,,,,,,,,
Female-only (including Supernumerary),5,0,1,0,2,0,1,0,2,1,"12 (including ""0"" Supernumerary)",,,,,
